EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
155919.800,183505.200,420982.400,196044.700,238482.900,210618.600,203840.700,219202.200,0.000
155818.300,183503.800,420693.300,195883.500,238652.500,210486.800,203824.900,219180.700,0.000
155947.000,183331.100,420660.100,195964.300,238270.500,210578.300,203737.600,219088.700,0.000
156048.100,183376.500,420812.700,196070.000,238083.500,210765.300,203711.400,219067.100,0.000
155982.800,183442.800,420741.500,196025.800,238233.500,210744.900,203723.300,219082.900,0.000
155859.400,183422.300,420517.200,195917.400,238369.200,210528.800,203739.800,219097.500,0.000
155762.300,183433.000,420251.600,195772.000,238554.500,210404.800,203735.300,219094.600,0.000
155884.600,183262.900,420226.500,195858.200,238174.300,210494.100,203651.600,219006.100,0.000
155986.600,183313.300,420391.300,195971.400,237992.000,210684.600,203631.500,218988.500,0.000
155921.700,183380.700,420329.800,195926.500,238144.500,210665.000,203646.800,219007.000,0.000
155808.100,183366.800,420118.600,195821.300,238287.400,210456.500,203671.400,219027.900,0.000
155724.700,183391.100,419864.700,195684.900,238486.200,210348.200,203682.500,219037.200,0.000
155848.400,183220.200,419839.000,195770.400,238111.200,210437.000,203600.300,218948.800,0.000
155947.400,183259.100,420003.300,195881.100,237920.700,210622.900,203575.900,218928.300,0.000
155869.800,183313.400,419935.700,195829.300,238060.200,210599.800,203583.100,218937.800,0.000
155754.600,183303.200,419735.500,195730.600,238209.300,210400.100,203613.900,218964.500,0.000
155678.700,183339.400,419501.400,195604.200,238424.100,210303.600,203639.500,218984.100,0.000
155807.400,183179.300,419491.800,195691.900,238058.700,210400.200,203565.400,218904.000,0.000
155914.500,183223.100,419667.200,195803.900,237870.300,210588.500,203542.800,218882.500,0.000
155869.300,183306.500,419637.300,195775.500,238044.200,210592.400,203575.000,218918.900,0.000
155755.900,183287.600,419436.100,195671.200,238185.100,210381.200,203595.900,218936.600,0.000
155667.000,183309.200,419192.400,195532.700,238384.400,210264.800,203603.000,218945.100,0.000
155776.800,183128.800,419163.200,195602.700,238008.400,210341.600,203507.400,218850.200,0.000
155881.600,183169.200,419338.800,195719.000,237817.100,210530.400,203482.400,218830.600,0.000
155838.100,183253.000,419314.800,195693.600,237986.200,210532.100,203514.300,218866.800,0.000
155732.800,183243.000,419126.300,195600.000,238132.700,210331.600,203544.700,218895.200,0.000
155648.700,183275.500,418895.600,195469.700,238345.500,210226.300,203560.000,218909.000,0.000
155770.200,183117.000,418890.400,195557.000,237991.500,210322.100,203489.300,218830.700,0.000
155862.700,183155.800,419064.900,195666.100,237792.700,210508.400,203461.100,218805.200,0.000
155805.300,183237.600,419036.000,195635.600,237954.500,210509.800,203488.500,218837.300,0.000
155680.800,183213.700,418835.400,195527.600,238085.100,210297.800,203506.300,218850.700,0.000
155586.100,183235.100,418596.100,195386.900,238290.400,210182.000,203516.000,218859.200,0.000
155725.100,183081.600,418600.400,195488.300,237944.300,210283.600,203455.100,218793.500,0.000
155834.200,183119.500,418786.100,195607.900,237747.200,210470.200,203432.900,218774.100,0.000
155776.200,183189.700,418749.100,195564.600,237900.400,210463.700,203446.200,218791.300,0.000
155679.800,183184.600,418573.900,195477.600,238050.700,210272.400,203480.000,218822.600,0.000
155600.600,183220.400,418351.500,195347.500,238271.200,210166.600,203498.300,218840.200,0.000
155721.900,183052.400,418338.500,195427.500,237909.800,210251.800,203417.300,218754.800,0.000
155825.500,183088.200,418526.100,195545.200,237706.400,210436.200,203389.300,218731.100,0.000
155773.200,183171.800,418507.300,195516.900,237873.100,210443.700,203413.400,218760.300,0.000
155676.200,183172.200,418341.200,195439.800,238034.700,210258.300,203456.000,218798.500,0.000
155586.400,183200.600,418111.800,195306.100,238248.500,210146.800,203470.000,218813.300,0.000
155711.600,183043.400,418108.800,195391.800,237899.100,210238.700,203400.100,218739.500,0.000
155821.400,183085.000,418304.700,195514.800,237701.600,210430.600,203382.900,218724.200,0.000
155767.400,183171.500,418288.100,195481.600,237867.200,210436.200,203408.400,218751.800,0.000
155679.500,183183.100,418135.700,195408.600,238035.700,210261.600,203462.600,218801.100,0.000
155578.100,183206.700,417899.200,195263.200,238244.000,210142.200,203470.800,218808.100,0.000
155692.400,183035.900,417885.500,195343.000,237887.000,210226.200,203394.700,218726.900,0.000
155813.800,183083.500,418089.100,195479.500,237687.900,210427.400,203385.200,218719.300,0.000
155764.300,183170.200,418079.500,195452.300,237854.700,210434.900,203410.800,218752.400,0.000
155657.900,183156.500,417904.800,195360.900,237995.700,210237.300,203438.500,218777.600,0.000
155574.900,183194.200,417687.800,195235.600,238215.700,210132.700,203460.200,218795.400,0.000
155690.700,183027.300,417678.400,195318.300,237866.200,210215.600,203384.200,218711.700,0.000
155808.800,183068.000,417879.400,195447.500,237663.200,210408.900,203364.300,218696.100,0.000
155761.100,183153.300,417871.100,195420.700,237831.800,210415.400,203390.500,218726.500,0.000
155664.600,183147.600,417707.700,195339.000,237982.700,210226.300,203428.900,218759.800,0.000
155575.700,183181.600,417486.200,195204.700,238199.100,210114.800,203446.300,218777.300,0.000
155689.300,183013.700,417480.600,195287.100,237851.200,210195.400,203373.400,218701.900,0.000
155796.700,183047.300,417682.800,195414.500,237646.100,210385.100,203354.400,218686.200,0.000
155744.700,183138.400,417678.100,195389.900,237814.200,210400.500,203386.000,218721.900,0.000
155628.100,183118.800,417501.900,195296.000,237948.900,210197.300,203411.600,218744.400,0.000
155526.500,183146.700,417274.200,195154.700,238160.800,210077.800,203424.000,218755.500,0.000
