EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
-111738.43242940842,-115851.15209437435,-104376.88939147859,-118230.71400312304,-117731.6487183759,-111474.98489190421,-117702.49465681645,-118420.02045917531,0.0
-114330.04429664399,-119355.11511969085,-114800.8468833624,-121808.87739470953,-121632.88500619559,-113959.90273780315,-121915.14889183584,-122925.15968782577,0.0
-117632.60651510902,-123103.61615204618,-125474.20325158445,-126095.35386366726,-127005.28062419595,-118072.73075509157,-126289.06335645507,-127874.32427123087,0.0
-117850.18445121407,-123527.02405294322,-132202.71999827743,-127226.9635006868,-129607.25761197803,-121020.19921897916,-126930.23588482033,-128954.5596631436,0.0
-116727.69375437858,-123024.87841528113,-137338.33128117386,-126933.295041483,-130123.54163222607,-121873.34185732197,-126627.48949838731,-128774.79890010765,0.0
-118093.22657078021,-125273.72077935794,-145142.42892504905,-129093.19910617401,-132687.02394269942,-123156.04800840843,-129434.76089659645,-131766.6701409667,0.0
-120816.67278536997,-128432.81794932116,-153979.3464716406,-132590.0207727791,-137068.9092706411,-126139.34280579635,-133192.38017529534,-135990.5382729166,0.0
-121170.07425956905,-128808.35687404573,-159713.8880051547,-133660.99382855886,-139270.34688689883,-128669.79758667473,-133792.7644073012,-137009.52048860828,0.0
-119758.77420795555,-127745.87249357087,-163438.99686854574,-132913.81003759304,-139106.10673645962,-129277.04026388895,-132821.09114965494,-136160.03065478924,0.0
-120160.32613911045,-128941.98593863881,-169181.6409999354,-133965.63293686026,-140471.29307895398,-129763.16543032735,-134408.29915121308,-137853.99804615407,0.0
-122237.629514523,-131555.2229245869,-176374.62664431758,-136671.868827211,-144030.95556337983,-131726.70087034674,-137558.42509396057,-141364.906986968,0.0
-122626.24212569007,-131954.05789190726,-181186.55732196517,-137620.87990660794,-146076.47685414238,-133720.53332577474,-138211.63496616355,-142399.41923700762,0.0
-121089.31103979121,-130515.29435859484,-183789.52655922377,-136585.10462047363,-145475.51618187735,-134127.73387538778,-136822.4014266369,-141129.53199841466,0.0
-120781.28798273542,-130779.50111213778,-187878.82458850925,-136781.17317655613,-145695.01635775686,-134121.7783734989,-137334.952764738,-141688.83947695582,0.0
-122271.5051063945,-132837.40719439997,-193696.3397130189,-138783.34627461986,-148345.12868194774,-135317.25879710025,-139827.62427014782,-144447.86431949548,0.0
-122629.23358721707,-133316.1844112299,-197731.06234364607,-139595.50876013865,-150335.53027865427,-136774.51036382874,-140563.42780862638,-145525.78119793287,0.0
-121006.2120203058,-131701.351006169,-199384.41819471304,-138352.44731698727,-149669.98585817346,-136910.35387044086,-138999.22965721937,-144085.98265631183,0.0
-120129.9880477759,-131158.4238997817,-202018.8521830709,-137851.65136876208,-148995.51860624147,-136502.34173663353,-138625.58977011612,-143722.3175347027,0.0
-121126.09314415912,-132605.17871429308,-206641.8580413842,-139257.28107424604,-150608.15571344507,-137145.06504507054,-140411.67001858202,-145696.32940703916,0.0
-121494.64470896327,-133156.60798656862,-210126.139379123,-140009.02078068187,-152372.9294042737,-138224.4953642575,-141179.03194426678,-146765.6822555294,0.0
-119855.29092486468,-131566.49588278012,-211096.89842599342,-138670.61427510594,-151850.32910390708,-138123.6432409418,-139617.20018305402,-145333.24727013957,0.0
-118465.02311019436,-130407.3399657737,-212413.83549955537,-137542.15772193926,-150685.27323185196,-137291.16864011806,-138575.7239921729,-144276.32076441965,0.0
-118953.57359067198,-131195.40959572222,-215824.46261344245,-138320.6272494953,-151350.88480263503,-137392.77021671232,-139650.54189988624,-145470.19430535944,0.0
-119357.94899374298,-131707.61858186434,-218847.03829487928,-139024.82173314047,-152657.54148107083,-138198.9025964816,-140350.53938659822,-146432.72835282586,0.0
-117846.70660785316,-130244.06267494662,-219464.76127773462,-137759.7548656502,-152208.63744771876,-138031.44050500717,-138876.6667989261,-145098.0231403914,0.0
-116060.89772577725,-128693.72740835873,-219758.2048040491,-136165.17811243166,-150848.12698003987,-136881.13637517666,-137380.47970858228,-143573.43752945983,0.0
-115992.03496756643,-128887.79318533512,-221951.14668496724,-136285.01361774537,-150872.12395763624,-136405.57698529208,-137824.5771293759,-144069.77199331645,0.0
-116362.43067476533,-129268.60927680961,-224420.76996191824,-136856.63894187013,-151708.7233309152,-136886.2849152983,-138401.42490656418,-144854.985946009,0.0
-115101.34702291657,-127936.05428389632,-224868.79857889365,-135774.47183135385,-151169.7910365483,-136768.1489732304,-137039.66201979353,-143634.05403665235,0.0
-113122.15004887231,-126145.39796329648,-224497.09967328518,-133935.055827716,-149623.7499869185,-135519.07178778492,-135219.25792127795,-141788.18813316346,0.0
-112496.50677893059,-125833.74021732547,-225598.47703299814,-133430.62359278637,-149195.91440014847,-134523.14781476354,-135087.2468410032,-141663.78082915992,0.0
-112653.15943692233,-126025.80931677383,-227358.31486783738,-133702.63568675422,-149708.21834195062,-134515.44668017016,-135486.63415570167,-142221.55115792024,0.0
-111592.3836282071,-124778.8035219272,-227582.50522816653,-132743.52269903352,-149071.02027444885,-134344.02087995945,-134238.42732629526,-141108.03311090733,0.0
-109599.2198695199,-122821.78102930773,-226798.85020326148,-130840.3379319759,-147268.74230400423,-133164.82767525874,-132201.3138719914,-139049.47004448908,0.0
-108571.28991756827,-122105.01357876214,-227104.92171538962,-129900.64281298316,-146384.45802749583,-131904.09749798628,-131574.1445734045,-138394.28184348336,0.0
-108467.28805582841,-122153.50816940816,-228217.91171323677,-129870.46203589521,-146691.13783314102,-131451.03827109505,-131807.79101232043,-138737.38807245047,0.0
-107520.72870243454,-121031.77205623376,-228150.38992960958,-128963.35117061152,-146151.4842276254,-131088.2361969484,-130726.66754359595,-137779.56884659486,0.0
-105587.53597410547,-118964.08780381503,-227002.7471625663,-127051.51936606328,-144202.21806015435,-129946.5498977119,-128581.1291853992,-135620.80902894516,0.0
-104307.78089989284,-117849.85567509674,-226689.199436628,-125808.44146247444,-142774.463458343,-128589.50317205123,-127486.63653468013,-134476.57101061405,0.0
-103973.5741428386,-117717.41691436584,-227289.0417409574,-125515.81707650298,-142731.3787975983,-127842.1431187666,-127479.61624542765,-134537.50327315167,0.0
-103056.08751725705,-116743.46454154557,-226952.19808665858,-124600.0793910755,-142341.50916916042,-127241.76621101034,-126549.25220419136,-133715.49028298183,0.0
-101136.99125534085,-114659.56731151494,-225422.61000569793,-122639.74475760837,-140483.66334766574,-126004.74080310688,-124400.50192333845,-131560.13154625183,0.0
-99658.23971454822,-113182.11386714608,-224510.08672515186,-121127.91772710494,-138618.16014956814,-124544.73977278908,-122909.69734172661,-130004.0599080318,0.0
-99176.96815405878,-112811.9378546897,-224696.93749670364,-120646.42556844749,-138059.1430570384,-123650.54332417314,-122608.60382234202,-129734.17889132984,0.0
-98344.97958382247,-111987.75662574598,-224261.3433869485,-119804.71688596832,-137674.90373101467,-122957.3839639092,-121796.4601380651,-129013.54735929305,0.0
-96457.74610948918,-110017.25482461831,-222487.2805790993,-117858.16446548604,-136076.81293448183,-121639.38976414895,-119754.20416061605,-126969.60477940018,0.0
-94751.06498213562,-108274.69017303789,-220959.60708863297,-116068.68149108114,-134077.2263890276,-119992.43478726134,-117992.0893524854,-125128.92317863664,0.0
-94080.60630301377,-107595.00467515594,-220626.11301950144,-115339.37918391703,-133037.508761811,-118900.48099603289,-117372.85830643431,-124504.81424312561,0.0
-93356.47361066454,-106804.90935927111,-220109.1932994899,-114573.99630276542,-132411.80397183925,-118178.88308304198,-116581.49926371076,-123787.52662998199,0.0
-91588.63009585012,-104978.46083303871,-218282.87036215744,-112738.76363393574,-130933.24820551311,-116897.59722834454,-114654.22838822869,-121870.66070889654,0.0
-89689.61013750226,-103101.72587204506,-216282.56466134958,-110736.13222133715,-128973.28839072652,-115094.36135296796,-112724.75776239757,-119863.5812044274,0.0
-88758.73384981976,-102158.77515341724,-215361.46606026054,-109697.46964798546,-127698.19561174577,-113715.73660526855,-111836.63761968256,-118941.17507418228,0.0
-88098.62108676627,-101343.27095859763,-214667.5195727874,-108945.07602799394,-126843.14521376236,-112907.45388776706,-111036.49846027588,-118189.36925340333,0.0
-86556.34266692675,-99648.92546680901,-212913.53993245482,-107309.87981651985,-125323.82827077177,-111775.03575000534,-109229.33080031224,-116393.29026024164,0.0
-84604.18436882629,-97723.49185262338,-210686.94961124205,-105244.98305946993,-123345.64699899456,-109997.77540797752,-107198.94099677326,-114284.29524006211,0.0
-83385.44047295688,-96578.00765681994,-209236.65516216782,-103896.13979849266,-121962.99589774407,-108354.2663243348,-106075.08756287274,-113099.9768750431,0.0
-82635.2802162693,-95700.21288496535,-208197.24217343057,-103010.26925445526,-121022.80997507347,-107298.41320694014,-105236.15695651845,-112283.6624109339,0.0
-81276.26554440713,-94082.36908395955,-206417.135356982,-101517.52147523013,-119454.51170276033,-106214.9476734194,-103533.84327515557,-110594.45332927637,0.0
-79413.78902608379,-92124.285769915,-204120.33412582014,-99526.50951409388,-117336.84256107594,-104590.89555367685,-101439.33759101879,-108430.59792048016,0.0
-78039.0847320031,-90841.85384699512,-202368.08006354392,-98022.66514893572,-115788.33598788272,-102879.40365468006,-100117.13793525119,-107033.95962276871,0.0
-77160.16899074745,-89953.04924609035,-201027.9519432637,-96997.50245425082,-114869.606066323,-101589.46727677865,-99253.21670244777,-106167.70821250428,0.0
-75871.72094475772,-88430.32293003931,-199106.59811863623,-95539.60288630742,-113432.17889390937,-100398.81238956634,-97680.21133885175,-104600.6362703332,0.0
-74089.17359095975,-86424.58052010484,-196680.48093063734,-93585.63084819958,-111221.20077721517,-98845.77303035346,-95547.93868210791,-102403.39985243698,0.0
-72647.07457485572,-84965.64580025681,-194719.56395081052,-91991.47738038929,-109359.65467913651,-97173.46657432415,-94004.1530733929,-100776.16651093344,0.0
-71686.52942938726,-84049.07361650259,-193213.5623281107,-90883.19197468171,-108321.87873977187,-95787.2951089687,-93067.24642622555,-99817.93909420967,0.0
-70424.64306228099,-82675.24454821632,-191195.62117719452,-89445.89192132154,-107102.70397599698,-94479.01974017199,-91647.58649362494,-98397.56727736536,0.0
-68673.06065928665,-80704.14280808171,-188593.3137967489,-87494.85424014353,-105041.02075760509,-92889.99615770015,-89579.38432246265,-96267.8119730475,0.0
-67188.01864676717,-79077.72254354756,-186388.44166581015,-85824.61017622089,-102955.03134762788,-91236.87548762324,-87872.69001073655,-94469.84480801279,0.0
-66222.01955192213,-78073.98777896616,-184780.5221999861,-84700.63756219941,-101630.12193625078,-89875.81219105385,-86821.35561146552,-93379.65816290118,0.0
-65042.364921180706,-76839.74187826549,-182798.81904660855,-83355.1909938297,-100472.7548729319,-88575.32765051303,-85513.36922418105,-92064.49096146831,0.0
-63310.37832543078,-74983.271283431,-180088.15725563816,-81420.20585156453,-98662.91109290309,-86936.1473933983,-83550.93936328715,-90044.07431939867,0.0
-61720.52131073472,-73243.04235507325,-177561.86621424582,-79611.19507380057,-96573.08692002454,-85176.88579941072,-81733.48604613652,-88127.43214190156,0.0
-60714.15167118938,-72089.41413302743,-175741.32088648563,-78407.4546503693,-94970.22722190339,-83765.60005024359,-80531.74057041851,-86866.86971711389,0.0
-59667.36584936512,-70909.63251015077,-173835.888940666,-77182.9467286584,-93653.82695028817,-82544.0520103813,-79260.76168874114,-85580.28692389927,0.0
-58041.12424773668,-69193.04529838884,-171194.18017219886,-75363.62605295442,-91964.89725242004,-80983.46513270069,-77407.82740105642,-83677.79091767676,0.0
-56354.96783098989,-67439.00043973817,-168442.45499997522,-73455.18915609058,-90019.00699218384,-79140.71223200776,-75560.3791495654,-81733.23067778687,0.0
-55224.8235965246,-66170.51309578646,-166310.66288217864,-72097.69489577929,-88368.90864926655,-77574.41862178451,-74262.32472241647,-80361.58830901972,0.0
-54264.36606610253,-64982.911620981744,-164362.85765192634,-70929.27825004874,-86912.91791938098,-76358.78960249198,-73014.8083274583,-79087.03138075933,0.0
-52819.031710154064,-63357.67795651124,-161862.59175586887,-69289.09632272489,-85167.7578906483,-74960.15004414423,-71251.44628678629,-77280.05096798604,0.0
-51131.277619324064,-61627.2545779184,-159075.46630132734,-67397.25394264654,-83262.89590818148,-73176.4088257319,-69391.84921909703,-75330.15269594485,0.0
-49847.06473488087,-60308.22464481658,-156691.39330073426,-65890.89193879407,-81681.38588935176,-71462.64254454368,-68024.32883173242,-73880.00315198555,0.0
-48855.902223079924,-59126.20615880816,-154576.04246156107,-64669.88874137943,-80271.9777499481,-70116.2465750635,-66805.6175048517,-72620.19698976382,0.0
-47563.13675532557,-57562.479180278795,-152124.57298105798,-63154.15321237679,-78494.63194161205,-68800.95767958261,-65126.53129081242,-70894.25687772504,0.0
-45982.17238302779,-55843.68156975571,-149400.93764904927,-61359.74693241436,-76480.35113089143,-67183.15947911784,-63252.20407256305,-68930.62467636072,0.0
-44636.404251692096,-54500.679040454685,-146927.53938148936,-59796.824427997344,-74849.03209414912,-65475.790914141835,-61809.161728393774,-67397.01247637186,0.0
-43569.60972944446,-53361.70973240939,-144662.00278008697,-58494.03016872106,-73557.40513404466,-63992.095025877476,-60618.69496559394,-66154.4976481193,0.0
-42331.99273112657,-51878.277047703974,-142138.95122666546,-57006.02364705613,-71926.01627385411,-62617.47470446266,-59048.56624351102,-64536.56975397592,0.0
-40862.529255516754,-50153.6924683622,-139414.60858868383,-55296.08294842991,-69855.42914250979,-61101.754743126614,-57186.95024361222,-62590.01472464101,0.0
-39561.31421715919,-48751.42252207323,-136949.93765380967,-53777.428773462954,-68034.42967140775,-59513.6559678293,-55660.364871910446,-60969.403312636096,0.0
-38489.294269766724,-47653.18687884856,-134686.40765550436,-52491.4025364463,-66732.79166455362,-58033.686837083034,-54477.60295380765,-59726.02455477329,0.0
-37263.06916095577,-46300.51304198798,-132130.257505817,-51028.04422546611,-65333.16285652624,-56587.689644043836,-53040.72235241415,-58240.06521172327,0.0
-35815.42783683267,-44617.4738457966,-129307.69461195362,-49327.22214654489,-63414.267506720134,-55040.90527837581,-51250.356892783275,-56369.51606310281,0.0
-34535.53617118601,-43130.633860366725,-126760.65166112207,-47811.20222219254,-61449.81065779761,-53506.66840516288,-49655.20456353151,-54679.532080022764,0.0
-33515.57848962846,-42005.19380307586,-124542.21469108414,-46581.20681171593,-59951.99324354514,-52117.44263700211,-48429.375094241936,-53386.482309699044,0.0
-32352.931348622966,-40771.46918427859,-122083.15822001234,-45202.984581328084,-58625.02876341869,-50716.528561413696,-47087.16961137197,-51991.983940820835,0.0
-30903.987020415472,-39195.43887578827,-119216.35994771229,-43505.41729600319,-56952.696493625204,-49129.49794471475,-45400.96253884376,-50224.46149522697,0.0
-29576.6268158874,-37672.11313569659,-116495.44217727076,-41912.445684599355,-55066.269198819085,-47532.547800085515,-43788.81317914736,-48508.80629101395,0.0
-28593.669066017705,-36478.79240794041,-114218.26379461969,-40682.440618239256,-53411.77412399926,-46174.59211630005,-42512.2415084306,-47151.86228667381,0.0
