EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
156855.500,184249.000,410649.300,195267.700,238683.000,211095.300,204318.600,219605.200,0.000
156847.800,184241.600,410609.900,195252.400,238675.600,211084.600,204305.600,219590.500,0.000
156789.600,184171.700,410442.500,195175.800,238586.000,211005.500,204226.500,219507.800,0.000
156755.000,184134.300,410350.300,195135.200,238543.500,210957.500,204184.300,219464.700,0.000
156790.300,184167.600,410447.200,195187.600,238586.300,211002.300,204226.200,219510.200,0.000
156840.200,184230.300,410587.600,195257.000,238667.300,211073.500,204293.300,219581.700,0.000
156835.800,184224.700,410559.800,195250.500,238663.200,211068.400,204289.000,219576.100,0.000
156778.500,184156.400,410384.900,195175.700,238571.800,210992.200,204215.800,219496.700,0.000
156740.300,184119.000,410282.200,195129.600,238527.700,210944.100,204174.900,219453.300,0.000
156778.800,184159.800,410387.500,195180.700,238576.600,210996.500,204222.700,219506.000,0.000
156836.000,184233.000,410546.000,195250.900,238665.200,211078.000,204297.400,219586.200,0.000
156832.400,184231.000,410523.700,195237.800,238662.300,211074.600,204295.000,219580.500,0.000
156772.800,184161.300,410340.800,195152.400,238567.000,210995.200,204219.100,219494.800,0.000
156734.100,184122.900,410229.000,195099.900,238521.000,210945.900,204176.200,219447.300,0.000
156770.300,184160.100,410328.800,195150.000,238570.700,210995.300,204222.300,219500.100,0.000
156823.000,184225.000,410484.100,195223.800,238658.700,211069.100,204293.700,219581.800,0.000
156819.200,184216.500,410464.700,195219.100,238654.800,211060.600,204288.400,219578.400,0.000
156764.100,184146.300,410289.300,195142.900,238560.000,210982.900,204212.000,219495.700,0.000
156728.100,184108.100,410178.800,195092.800,238512.200,210935.400,204167.000,219446.800,0.000
156764.000,184144.100,410271.400,195139.000,238557.700,210984.100,204209.200,219492.900,0.000
156816.100,184210.200,410421.200,195208.600,238644.000,211058.200,204279.500,219569.700,0.000
156813.100,184206.100,410406.400,195202.600,238642.500,211053.100,204278.200,219568.400,0.000
156761.300,184141.700,410243.800,195127.700,238552.900,210983.300,204206.900,219491.900,0.000
156725.300,184103.700,410138.400,195075.200,238506.400,210936.700,204160.500,219443.500,0.000
156756.600,184130.500,410219.600,195114.800,238543.700,210972.200,204195.500,219482.400,0.000
156809.600,184190.800,410359.200,195185.400,238623.300,211037.800,204264.600,219556.200,0.000
156814.500,184193.200,410352.700,195192.000,238628.400,211042.200,204271.000,219562.900,0.000
156769.800,184140.300,410210.800,195134.000,238554.400,210988.300,204211.700,219500.700,0.000
156734.900,184108.700,410116.300,195092.800,238519.300,210950.400,204173.900,219460.900,0.000
156757.100,184133.600,410183.300,195128.000,238554.100,210985.800,204203.700,219492.900,0.000
156797.300,184191.300,410302.000,195184.600,238626.900,211051.500,204259.000,219552.800,0.000
156799.800,184195.300,410300.100,195187.300,238634.800,211054.800,204261.400,219555.000,0.000
156762.000,184140.300,410181.600,195137.000,238562.200,210987.400,204207.500,219494.900,0.000
156733.800,184104.500,410095.700,195099.600,238517.600,210934.800,204171.100,219454.000,0.000
156759.300,184130.100,410147.700,195128.800,238542.400,210968.500,204195.000,219479.500,0.000
156797.400,184186.700,410246.400,195173.800,238608.200,211033.400,204240.600,219530.300,0.000
156796.000,184188.300,410240.600,195168.600,238612.500,211033.800,204237.800,219529.700,0.000
156759.500,184139.900,410138.200,195119.600,238547.100,210975.500,204189.500,219478.400,0.000
156733.600,184112.100,410066.100,195086.100,238511.600,210935.600,204162.100,219447.400,0.000
156757.300,184134.700,410112.500,195115.200,238532.600,210968.700,204189.800,219475.600,0.000
156790.800,184181.500,410198.500,195157.500,238588.900,211025.200,204235.600,219525.700,0.000
156787.000,184178.500,410192.600,195152.300,238595.100,211026.600,204234.300,219526.800,0.000
156756.400,184135.100,410105.800,195111.700,238545.100,210981.900,204193.200,219484.000,0.000
156737.400,184111.200,410043.300,195085.000,238522.100,210949.500,204171.300,219460.100,0.000
156754.300,184123.700,410074.200,195105.000,238535.500,210968.400,204190.700,219480.100,0.000
156774.600,184155.800,410136.200,195132.600,238573.700,211004.200,204222.900,219512.900,0.000
156771.900,184155.600,410132.300,195130.100,238577.400,211006.800,204225.600,219512.500,0.000
156753.100,184129.300,410070.300,195105.100,238541.300,210981.600,204202.100,219484.000,0.000
156735.800,184114.200,410021.600,195083.300,238527.300,210958.600,204187.000,219466.500,0.000
156742.500,184119.400,410040.500,195093.600,238535.600,210968.500,204197.000,219478.000,0.000
156755.900,184141.500,410084.800,195113.100,238564.500,210992.300,204219.100,219503.300,0.000
156757.700,184143.700,410083.300,195114.600,238569.900,210994.300,204222.900,219508.400,0.000
156748.500,184130.100,410041.900,195100.300,238543.900,210977.300,204207.000,219491.000,0.000
156735.600,184123.500,410005.600,195083.200,238531.700,210960.000,204193.900,219475.800,0.000
156737.800,184125.600,410014.800,195085.600,238528.300,210967.800,204194.500,219475.500,0.000
156745.100,184141.600,410044.600,195095.600,238546.400,210986.100,204205.800,219487.500,0.000
156746.700,184142.100,410043.000,195097.800,238552.300,210985.100,204208.500,219490.700,0.000
156741.000,184129.300,410011.100,195088.500,238533.200,210971.600,204197.100,219478.200,0.000
156734.800,184125.000,409982.400,195077.200,238530.800,210961.700,204190.000,219470.300,0.000
156749.300,184132.500,409994.400,195091.000,238537.500,210974.700,204201.500,219481.400,0.000
156763.100,184149.600,410018.700,195106.400,238554.900,210990.300,204218.600,219497.700,0.000
156760.300,184145.600,410009.800,195101.200,238551.400,210984.200,204214.300,219492.300,0.000
156755.600,184137.200,409985.500,195089.700,238535.400,210976.400,204199.600,219476.500,0.000
156752.000,184139.000,409965.100,195079.700,238541.900,210972.700,204193.100,219469.000,0.000
156754.000,184133.300,409961.700,195080.500,238538.600,210972.300,204191.700,219466.700,0.000
156756.200,184134.400,409968.700,195084.500,238542.100,210972.400,204197.100,219472.000,0.000
156758.600,184133.000,409965.500,195086.300,238543.100,210969.500,204200.100,219475.200,0.000
156759.300,184130.300,409952.700,195082.800,238534.000,210970.000,204194.100,219471.100,0.000
156753.200,184129.800,409935.200,195072.000,238538.200,210966.700,204187.500,219467.000,0.000
156751.500,184119.300,409929.400,195070.400,238528.100,210960.100,204183.500,219464.000,0.000
156749.300,184115.500,409931.200,195072.000,238522.000,210951.100,204185.400,219466.500,0.000
156750.600,184117.700,409929.300,195076.700,238521.600,210951.200,204191.000,219474.000,0.000
156754.900,184129.000,409928.500,195084.000,238526.900,210969.600,204196.100,219481.900,0.000
